_Ticker,TestnetHolders.ArbitrumOneGoerli,TestnetHolders.AvalancheFuji,TestnetHolders.EthereumGoerli,TestnetHolders.EthereumSepolia,TestnetHolders.GenXTestnetForGaiaXWeb3Ecosystem,TestnetHolders.PolygonMumbai,TestnetHolders.Total
_DataDescription,,,,,,,
_DataType,,,,,,,
agEUR,,,,,,,
CEUR,,,,,,,
EURCV,,,,,,,
EURe,,,[[roinevirta;20230630;https://goerli.etherscan.io/token/0x0752d64e0186808cb7be2011b3991dc7d2268357]],,,[[roinevirta;20230630;https://mumbai.polygonscan.com/token/0xCF487EFd00B70EaC8C28C654356Fb0E387E66D62]],
EURL,,,,,,,
EUROC,,,,,,,
EUROe,[[roinevirta;20230630;https://goerli.arbiscan.io/token/0xCD99B575d0D3c83171cADEfa9149cE46BEB959fE]],[[roinevirta;20230630;https://testnet.snowtrace.io/token/0xA089a21902914C3f3325dBE2334E9B466071E5f1]],[[roinevirta;20230630;https://goerli.etherscan.io/token/0xA089a21902914C3f3325dBE2334E9B466071E5f1]],[[roinevirta;20230630;https://sepolia.etherscan.io/token/0xA089a21902914C3f3325dBE2334E9B466071E5f1]],[[roinevirta;20230630;https://logging.genx.minimal-gaia-x.eu/token/0xe974c4894996E012399dEDbda0bE7314a73BBff1/token-transfers]],[[roinevirta;20230630;https://mumbai.polygonscan.com/token/0xA089a21902914C3f3325dBE2334E9B466071E5f1]],
EURS,,,,,,,
EURT,,,,,,,
IBEUR,,,,,,,
jEUR,,,,,,,
PAR,,,,,,,
SEUR,,,,,,,