_Ticker,BackingQuality,InternalAuditors,BankingAndInvestmentPartners,BankingAndInvestmentPartnersDomicile
_DataDescription,,,,
_DataType,,,,
agEUR,,,,
CEUR,,,,
EURCV,,,,
EURe,[[roinevirta;20230709;https://www.youtube.com/watch?v=bUD3a27omtI]],,[[roinevirta;20230717;https://twitter.com/gislik/status/1680974123462283264];[roinevirta;20230709;Own research based on opening a Monerium account]],[[roinevirta;20230709;https://www.youtube.com/watch?v=bUD3a27omtI];[roinevirta;20230709;Own research based on opening a Monerium account]]
EURL,,,,
EURC,,,,
EUROe,,,,
EURS,,,,
EURT,,,,
IBEUR,,,,
jEUR,,,,
PAR,,,,
SEUR,,,,
VEUR,[[roinevirta;20230829;https://vnx.li/veur/]],[[roinevirta;20230829;https://vnx.li/transparency/]],[[roinevirta;20230829;https://vnx.li/wp-content/uploads/2023/08/VNX-COMMODITIES-AG_Reserve-Report_30.06.2023_signed2_compressed.pdf]],[[roinevirta;20230829;https://vnx.li/wp-content/uploads/2023/08/VNX-COMMODITIES-AG_Reserve-Report_30.06.2023_signed2_compressed.pdf]]