_Ticker,ReleaseYear,StablecoinType,WhitepaperURL,RegulatoryFramework,IsMiCACompliant,MiCATokenType,Bluechip.Grade,Bluechip.S,Bluechip.M,Bluechip.I,Bluechip.D,Bluechip.G,Bluechip.E
_DataDescription,,,,,,,,,,,,,
_DataType,,,,,,,,,,,,,
agEUR,,,,,,,,,,,,,
CEUR,,,,,,,,,,,,,
EURCV,,,,,,,,,,,,,
EURe,,,,,,,,,,,,,
EURL,,,,,,,,,,,,,
EUROC,,,,,,,,,,,,,
EUROe,,,,,,,,,,,,,
EURS,,,,,,,,,,,,,
EURT,,,,,,,"[[roinevirta,20230804;https://bluechip.org/coins/euro-tether]]","[[roinevirta,20230804;https://bluechip.org/coins/euro-tether]]","[[roinevirta,20230804;https://bluechip.org/coins/euro-tether]]","[[roinevirta,20230804;https://bluechip.org/coins/euro-tether]]","[[roinevirta,20230804;https://bluechip.org/coins/euro-tether]]","[[roinevirta,20230804;https://bluechip.org/coins/euro-tether]]","[[roinevirta,20230804;https://bluechip.org/coins/euro-tether]]"
IBEUR,,,,,,,,,,,,,
jEUR,,,,,,,,,,,,,
PAR,,,,,,,,,,,,,
SEUR,,,,,,,,,,,,,